year,continent,scenario,tas_c
2006,South America,historical,20.729563953285208
2007,South America,historical,20.595095607299243
2008,South America,historical,20.512647677815607
2009,South America,historical,20.226392531597412
2010,South America,historical,20.596370330009393
2011,South America,historical,20.72872416747765
2012,South America,historical,20.190631878401177
2013,South America,historical,20.140413370000886
2014,South America,historical,20.426607048001358
2015,South America,ssp585,20.819452704548098
2016,South America,ssp585,20.149459261898812
2017,South America,ssp585,20.254288534293835
2018,South America,ssp585,20.836246062251007
2019,South America,ssp585,20.873283082747776
2020,South America,ssp585,20.59635381104482
2021,South America,ssp585,20.87150780996211
2022,South America,ssp585,20.932205180978144
2023,South America,ssp585,21.096750051924914
2024,South America,ssp585,20.81716102051962
2025,South America,ssp585,20.68617523412496
2026,South America,ssp585,20.843242201396095
2027,South America,ssp585,20.883830128997545
2028,South America,ssp585,21.120742221676437
2029,South America,ssp585,21.112324652041252
2030,South America,ssp585,20.97815127253091
2031,South America,ssp585,20.998025055444543
2032,South America,ssp585,21.49928105901199
2033,South America,ssp585,21.59014953234265
2034,South America,ssp585,21.30833978604261
2035,South America,ssp585,21.742559912350487
2036,South America,ssp585,21.31860923510601
2037,South America,ssp585,21.470850408638285
2038,South America,ssp585,21.468797990912606
2039,South America,ssp585,21.480864130366967
2040,South America,ssp585,21.675950676938896
2041,South America,ssp585,21.51512969925767
2042,South America,ssp585,21.73953392316065
2043,South America,ssp585,21.808731199231715
2044,South America,ssp585,21.341314996294386
2045,South America,ssp585,21.39909044445716
2046,South America,ssp585,21.98042617879372
2047,South America,ssp585,22.259822996569255
2048,South America,ssp585,22.085181437544463
2049,South America,ssp585,22.357153888905486
2050,South America,ssp585,22.353003538650796
2051,South America,ssp585,22.402383417673377
2052,South America,ssp585,22.48042478147596
2053,South America,ssp585,22.250830346694443
2054,South America,ssp585,22.316329197858693
2055,South America,ssp585,22.569280884584032
2056,South America,ssp585,22.519107620093394
2057,South America,ssp585,22.48742192824801
2058,South America,ssp585,22.707375795329824
2059,South America,ssp585,22.820172852535222
2060,South America,ssp585,22.622435655129777
