year,region,tas_anomaly,scenario
2057,atlantic_south,1.9997978,ssp585
2058,atlantic_south,2.339056,ssp585
2059,atlantic_south,2.2581081,ssp585
2060,atlantic_south,2.033226,ssp585
2061,atlantic_south,2.0868187,ssp585
2062,atlantic_south,2.117817,ssp585
2063,atlantic_south,2.1948967,ssp585
2064,atlantic_south,2.2783947,ssp585
2065,atlantic_south,2.24024,ssp585
2066,atlantic_south,2.3351936,ssp585
2067,atlantic_south,2.519455,ssp585
2068,atlantic_south,2.4564495,ssp585
2069,atlantic_south,2.8228226,ssp585
2070,atlantic_south,2.745016,ssp585
2071,atlantic_south,2.9129467,ssp585
2072,atlantic_south,2.7934723,ssp585
2073,atlantic_south,2.7664318,ssp585
2074,atlantic_south,2.7418804,ssp585
2075,atlantic_south,2.6366024,ssp585
2076,atlantic_south,2.911522,ssp585
2077,atlantic_south,2.9270325,ssp585
2078,atlantic_south,2.9314556,ssp585
2079,atlantic_south,3.2409935,ssp585
2080,atlantic_south,3.3054867,ssp585
2081,atlantic_south,3.214325,ssp585
2082,atlantic_south,3.4111404,ssp585
2083,atlantic_south,3.5857773,ssp585
2084,atlantic_south,3.4638329,ssp585
2085,atlantic_south,3.608139,ssp585
2086,atlantic_south,3.5056686,ssp585
2087,atlantic_south,3.4767647,ssp585
2088,atlantic_south,3.5280762,ssp585
2089,atlantic_south,3.4912834,ssp585
2090,atlantic_south,3.5670738,ssp585
2091,atlantic_south,3.7031784,ssp585
2092,atlantic_south,3.9479713,ssp585
2093,atlantic_south,3.8507385,ssp585
2094,atlantic_south,4.1015244,ssp585
2095,atlantic_south,4.1382904,ssp585
2096,atlantic_south,4.187439,ssp585
2097,atlantic_south,3.9555569,ssp585
2098,atlantic_south,4.342575,ssp585
2099,atlantic_south,4.18779,ssp585
2100,atlantic_south,4.275669,ssp585
1980,indian,0.0,historical
1981,indian,0.14354897,historical
1982,indian,-0.01067543,historical
1983,indian,-0.009901047,historical
1984,indian,0.09967232,historical
1985,indian,0.120780945,historical
1986,indian,0.38192558,historical
1987,indian,-0.007001877,historical
1988,indian,0.0505085,historical
1989,indian,0.21898079,historical
1990,indian,0.23121834,historical
1991,indian,0.18308258,historical
1992,indian,-0.013288498,historical
1993,indian,0.09141159,historical
1994,indian,0.08297539,historical
1995,indian,0.067588806,historical
1996,indian,0.2612419,historical
1997,indian,0.07695961,historical
1998,indian,0.07510567,historical
