year,tas_anomaly,region,scenario,pr_anomaly
1986,0.15503744267880393,north_america,historical,-0.05031301258061127
1987,0.12140760001994888,north_america,historical,-0.02571638171392765
1988,0.014297545477658158,north_america,historical,-0.012518459641111424
1989,0.202117239048913,north_america,historical,-0.0594606472967123
1990,0.13193340319145763,north_america,historical,-0.012328921597302589
1991,0.11702523177767832,north_america,historical,-0.015983237280148277
1992,-0.3600093458453115,north_america,historical,-0.06343415897668736
1993,0.006526943462045853,north_america,historical,-0.01944570197489659
1994,-0.1271603027058028,north_america,historical,-0.024914887443060252
1995,-0.03416283535035136,north_america,historical,-0.0045774880856326305
1996,0.19776491791223094,north_america,historical,-0.00936058430363218
1997,0.5185328434852523,north_america,historical,0.0078275002828323
1998,0.5894034198800231,north_america,historical,-0.027553188135558848
1999,0.5185835862836199,north_america,historical,-0.03621753846876841
2000,0.5440766984202727,north_america,historical,-0.022752223343339484
2001,0.7097144706852454,north_america,historical,-0.002423415714201571
2002,0.7955659086863505,north_america,historical,-0.02213903476440171
2003,0.6462715180631822,north_america,historical,-0.003656975788672856
2004,0.6887979348626243,north_america,historical,-0.0005096579236294474
2005,0.8429360746244172,north_america,historical,-0.003172003904773568
2006,0.7344525332450669,north_america,historical,-0.05299119324848345
2007,0.8061747855557013,north_america,historical,0.016489166428469204
2008,0.9641901674684412,north_america,historical,0.0433790623738739
2009,0.6757804738376456,north_america,historical,0.010727926650499153
2010,0.9795067485745093,north_america,historical,0.04000519261924973
2011,0.8856154653880193,north_america,historical,0.0312658663057106
2012,0.9938182199501333,north_america,historical,0.02514718826781026
2013,1.1769597950494894,north_america,historical,-0.02249749470680884
2014,1.363101220837621,north_america,historical,-0.019037261365863145
2015,1.293495185274899,north_america,ssp585,0.02632899071479544
2016,1.180265067964155,north_america,ssp585,0.06468176606165388
2017,1.4173431301902268,north_america,ssp585,-0.006898433271084414
2018,1.204337217575954,north_america,ssp585,0.02630742688543153
2019,1.5502409935990547,north_america,ssp585,0.06945517075499463
2020,1.6015350276817486,north_america,ssp585,0.03788784527312883
2021,1.660167052385686,north_america,ssp585,0.02964485419722296
2022,1.653250929236492,north_america,ssp585,0.0077720116921820015
2023,1.6313195707423227,north_america,ssp585,0.05860591469912757
2024,1.7710317212793627,north_america,ssp585,0.04772859223810988
2025,1.9689822234495837,north_america,ssp585,0.046436546990395566
2026,1.9152837732585914,north_america,ssp585,0.037196516274745406
2027,2.027280993691021,north_america,ssp585,0.06627192804018867
